Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
fastqc_output | aerobic_r1_2 - polya	(1, 0.003837928512913332)	(2, 0.010380162526028941)	(3, 0.011568417973087516)	(4, 0.01630778165273494)	(5, 0.020295949360103954)	(6, 0.022426614299657262)	(7, 0.024953364388230096)	(8, 0.027616695562671732)	(9, 0.03034831728004777)	(10, 0.032902383585794365)	(11, 0.03441843363893807)	(12, 0.03653544046990449)	(13, 0.038188071608917)	(14, 0.04030507843988342)	(15, 0.04203965823041721)	(16, 0.04369228936942971)	(17, 0.04514004887963901)	(18, 0.046710731367130234)	(19, 0.04890968684961794)	(20, 0.05071255718308613)	(21, 0.052884196448400075)	(22, 0.05482364786773706)	(23, 0.05664017630979212)	(24, 0.05852499529478159)	(25, 0.06113369403487571)	(26, 0.06408384548964183)	(27, 0.06588671582311001)	(28, 0.06702033883582106)	(29, 0.06880955106070237)	(30, 0.07053047274264927)	(31, 0.0720328646872061)	(32, 0.07412255530099876)	(33, 0.07638980132642087)	(34, 0.07817901355130218)	(35, 0.0798862771246622)	(36, 0.08178475421823855)	(37, 0.0845027178270277)	(38, 0.08638753681201716)	(39, 0.08847722742580984)	(40, 0.09163225050937916)	(41, 0.0933941465170867)	(42, 0.09499214522175169)	(43, 0.09639893040620034)	(44, 0.09802424532803909)	(45, 0.09963590214129095)	(46, 0.10172559275508361)	(47, 0.10348748876279117)	(48, 0.1058639996569083)	(49, 0.10845904028841555)	(50, 0.11065799577090325)	(51, 0.11237891745285015)	(52, 0.11392228372316762)	(53, 0.11530175269044252)	(54, 0.1171046230239107)	(55, 0.11870262172857568)	(56, 0.12107913262269283)	(57, 0.12311419080213798)	(58, 0.12579118008516652)	(59, 0.12980666400970928)	(60, 0.13442310471207478)	(61, 0.13688156425771322)	(62, 0.13879369945987644)	(63, 0.1411702103539936)	(64, 0.14276820905865859)	(65, 0.14276820905865859)
fastqc_output | aerobic_r2_2 - polya	(1, 0.004029141482825136)	(2, 0.010858194843545705)	(3, 0.012469851436675759)	(4, 0.017318479322787364)	(5, 0.02149785997954835)	(6, 0.02364218273481461)	(7, 0.025854796023688075)	(8, 0.028354229553711804)	(9, 0.031208773858493)	(10, 0.03379015602884537)	(11, 0.035319863981646785)	(12, 0.03783295561839195)	(13, 0.04008654322742974)	(14, 0.04250402811712482)	(15, 0.04414300092369776)	(16, 0.04597318722437087)	(17, 0.047379972216679306)	(18, 0.04896431259636648)	(19, 0.050931079964254)	(20, 0.053157351359848906)	(21, 0.05516509304790076)	(22, 0.05725478337628125)	(23, 0.05900302103662571)	(24, 0.06113368568517053)	(25, 0.06370140974880147)	(26, 0.06644668919981113)	(27, 0.06845443088786299)	(28, 0.06962902806590691)	(29, 0.07124068465903698)	(30, 0.07322111013364593)	(31, 0.07458692080579006)	(32, 0.07647173953334893)	(33, 0.0791487284507514)	(34, 0.08086964989765298)	(35, 0.0823720416370115)	(36, 0.08421588604440605)	(37, 0.08707043034918725)	(38, 0.08898256529018901)	(39, 0.09084006780430501)	(40, 0.09321657837383576)	(41, 0.09512871331483752)	(42, 0.09695889961551064)	(43, 0.09848860756831204)	(44, 0.1004007425093138)	(45, 0.10201239910244386)	(46, 0.10406111511066003)	(47, 0.10586398519789025)	(48, 0.10813123091364948)	(49, 0.11057603201678745)	(50, 0.11241987642418201)	(51, 0.11416811408452647)	(52, 0.11558855718355635)	(53, 0.11681778678848605)	(54, 0.11834749474128746)	(55, 0.12016402293523913)	(56, 0.12249955918460556)	(57, 0.12434340359200012)	(58, 0.1272252641102242)	(59, 0.13103587588550628)	(60, 0.13536549571620313)	(61, 0.1374825022580265)	(62, 0.13928537234525673)	(63, 0.1411019005392084)	(64, 0.14298671926676726)	(65, 0.14298671926676726)
fastqc_output | aerobic_r2_2 - polyg	(1, 0.07405425464365385)	(2, 0.07592541526449129)	(3, 0.07637613278629884)	(4, 0.07656734628039902)	(5, 0.07673124356105632)	(6, 0.07692245705515649)	(7, 0.07716830297614242)	(8, 0.07774194345844296)	(9, 0.07830192583402204)	(10, 0.07895751495665122)	(11, 0.07936725815829446)	(12, 0.07984529189354489)	(13, 0.08032332562879534)	(14, 0.08069209451027425)	(15, 0.081211102565689)	(16, 0.08148426470011783)	(17, 0.0817710849412681)	(18, 0.08211253760930412)	(19, 0.08239935785045438)	(20, 0.08272715241176898)	(21, 0.08319152804029797)	(22, 0.08349200638816967)	(23, 0.08398369823014155)	(24, 0.08428417657801326)	(25, 0.08474855220654226)	(26, 0.08525390215523558)	(27, 0.08558169671655017)	(28, 0.08595046559802907)	(29, 0.08640118311983663)	(30, 0.08690653306852995)	(31, 0.08723432762984455)	(32, 0.08775333568525931)	(33, 0.08825868563395263)	(34, 0.08875037747592451)	(35, 0.08925572742461783)	(36, 0.0896381544128182)	(37, 0.09011618814806863)	(38, 0.09073080295053348)	(39, 0.09127712721939113)	(40, 0.0918644258084131)	(41, 0.09249269871759938)	(42, 0.09305268109317848)	(43, 0.09368095400236476)	(44, 0.09451409851237268)	(45, 0.09497847414090167)	(46, 0.0955521146232022)	(47, 0.09637160102648867)	(48, 0.09706816446928217)	(49, 0.09768277927174701)	(50, 0.09820178732716178)	(51, 0.09878908591618375)	(52, 0.09944467503881292)	(53, 0.10011392226816354)	(54, 0.10076951139079271)	(55, 0.10138412619325757)	(56, 0.10206703152932962)	(57, 0.10269530443851592)	(58, 0.10339186788130941)	(59, 0.1040884313241029)	(60, 0.10479865287361785)	(61, 0.10539960956936126)	(62, 0.10612348922559764)	(63, 0.10690200130871978)	(64, 0.10755759043134897)	(65, 0.10834976062119255)
fastqc_output | anaerobic_r1_1 - polya	(1, 0.0017563193848745774)	(2, 0.003135112173000414)	(3, 0.005071987756320041)	(4, 0.0073699757365297686)	(5, 0.010242460711791928)	(6, 0.013098531487195447)	(7, 0.017202081451855675)	(8, 0.02087886222019124)	(9, 0.02560615177947982)	(10, 0.029841015343009175)	(11, 0.032188245922794824)	(12, 0.033977393707386686)	(13, 0.03693194968194205)	(14, 0.039000138864130805)	(15, 0.04054307365084305)	(16, 0.04203676583797937)	(17, 0.04387515622214715)	(18, 0.04643577140009514)	(19, 0.049127700176912245)	(20, 0.051753972154294794)	(21, 0.053937060735494036)	(22, 0.05533226772347851)	(23, 0.05677671731103891)	(24, 0.05804061070015426)	(25, 0.059255261489693685)	(26, 0.060814610476264575)	(27, 0.06204567546566264)	(28, 0.0637527522509613)	(29, 0.06495098884064208)	(30, 0.06667447982579938)	(31, 0.06787271641548016)	(32, 0.06930075180318193)	(33, 0.0708929291894701)	(34, 0.07260000597476875)	(35, 0.07374899996487361)	(36, 0.07501289335398896)	(37, 0.0759485027459315)	(38, 0.07722881033490549)	(39, 0.07880457352133502)	(40, 0.08015053790974357)	(41, 0.08149650229815213)	(42, 0.08264549628825699)	(43, 0.08407353167595874)	(44, 0.08568212326210556)	(45, 0.0872250580488178)	(46, 0.0890306200332683)	(47, 0.08976925902690715)	(48, 0.09203441860739958)	(49, 0.0928058860007557)	(50, 0.09369225279312232)	(51, 0.09449654858619573)	(52, 0.09566195677615923)	(53, 0.09638418156993943)	(54, 0.09707357796400234)	(55, 0.09799277315608623)	(56, 0.0996998499413849)	(57, 0.10068470193290335)	(58, 0.1016695539244218)	(59, 0.10272006271537482)	(60, 0.10416451230293522)	(61, 0.1054776482916265)	(62, 0.10661022808187272)	(63, 0.10767715107268437)	(64, 0.1088918018622238)	(65, 0.1088918018622238)
fastqc_output | anaerobic_r1_2 - polya	(1, 0.003611123968901)	(2, 0.006959620740063746)	(3, 0.009159123521121628)	(4, 0.012671762290870784)	(5, 0.016102330061326733)	(6, 0.019073300235740737)	(7, 0.022191998208882513)	(8, 0.027083429766757504)	(9, 0.033829665908658914)	(10, 0.04105191384646092)	(11, 0.04771607898906913)	(12, 0.05442948673125326)	(13, 0.063309568854778)	(14, 0.07237020717674778)	(15, 0.08193968569433542)	(16, 0.09257608720273473)	(17, 0.10426299750208706)	(18, 0.11489939901048637)	(19, 0.12596256971521036)	(20, 0.1379449356120182)	(21, 0.14854850872070025)	(22, 0.16071143081595315)	(23, 0.17341602150654123)	(24, 0.1865637955933126)	(25, 0.2006143506723092)	(26, 0.21358156856063554)	(27, 0.2263354018507995)	(28, 0.23869529434435613)	(29, 0.2525160506253318)	(30, 0.2665666057043284)	(31, 0.27910705439633005)	(32, 0.29342023667306494)	(33, 0.3064202829611085)	(34, 0.3194039150492935)	(35, 0.33327391392984507)	(36, 0.3469797708118102)	(37, 0.36208083468175983)	(38, 0.3761806323603324)	(39, 0.38955820524512474)	(40, 0.40239410953458193)	(41, 0.41568961142008104)	(42, 0.42924774050331843)	(43, 0.4417717749954615)	(44, 0.45505086268110195)	(45, 0.46788676697055914)	(46, 0.4808703990587441)	(47, 0.49419872934396053)	(48, 0.5080194856249362)	(49, 0.5204450349179274)	(50, 0.5331003830089395)	(51, 0.5445739087101295)	(52, 0.5566055172065133)	(53, 0.5688340961012007)	(54, 0.58080004779815)	(55, 0.5932420112909998)	(56, 0.6059137735818706)	(57, 0.6179453820782543)	(58, 0.6307320437681356)	(59, 0.643929060454483)	(60, 0.6564202665469087)	(61, 0.6675162656513499)	(62, 0.6785630221562152)	(63, 0.6899052342585361)	(64, 0.7000163813714589)	(65, 0.7000163813714589)
fastqc_output | anaerobic_r1_2 - polyg	(1, 1.9810954377388061)	(2, 2.038331752645887)	(3, 2.04445424919316)	(4, 2.0484921423583855)	(5, 2.0508393729381713)	(6, 2.0535805443145643)	(7, 2.0575527806803553)	(8, 2.0634454784296077)	(9, 2.0696664601760326)	(10, 2.0776109329076147)	(11, 2.082485950265631)	(12, 2.08937991420626)	(13, 2.0966349905437793)	(14, 2.1000163157146594)	(15, 2.103463297684974)	(16, 2.1067461376567023)	(17, 2.109635036831823)	(18, 2.112343379808499)	(19, 2.1157739475789548)	(20, 2.1181211781587406)	(21, 2.1202550241403637)	(22, 2.1224873553211387)	(23, 2.1247525149016315)	(24, 2.1269356034828304)	(25, 2.1289053074658675)	(26, 2.1312689522455117)	(27, 2.1333863840272764)	(28, 2.1355202300088996)	(29, 2.1377689753895335)	(30, 2.140034134970026)	(31, 2.14203666735278)	(32, 2.143957128736241)	(33, 2.1457298623209744)	(34, 2.1478801225024564)	(35, 2.1496528560871897)	(36, 2.1514748322714987)	(37, 2.153526607253829)	(38, 2.1552829266387032)	(39, 2.157219802222023)	(40, 2.1595342044020915)	(41, 2.161290523786966)	(42, 2.1629155295729716)	(43, 2.165180689153464)	(44, 2.167101150536925)	(45, 2.1693170675178415)	(46, 2.1714673276993235)	(47, 2.1733385464832082)	(48, 2.175324664666104)	(49, 2.177146640850413)	(50, 2.1791820016328844)	(51, 2.1807249364195966)	(52, 2.18274388300221)	(53, 2.1847300011851054)	(54, 2.1868310187670112)	(55, 2.189046935747928)	(56, 2.1909673971313888)	(57, 2.1930848289131535)	(58, 2.1952350890946355)	(59, 2.1973361066765413)	(60, 2.198944698262688)	(61, 2.201062130044453)	(62, 2.203130319226642)	(63, 2.205576035005579)	(64, 2.2075785673883335)	(65, 2.2098601411686847)
fastqc_output | anaerobic_r2_1 - polya	(1, 0.0013787925618080697)	(2, 0.0028068277151092847)	(3, 0.004727288783341953)	(4, 0.006713406640232149)	(5, 0.00956947694683458)	(6, 0.012080849112984992)	(7, 0.016627581727518746)	(8, 0.01977910758308005)	(9, 0.02411245563447684)	(10, 0.028380146897216102)	(11, 0.030875104866202135)	(12, 0.03295970790607862)	(13, 0.03601274857865363)	(14, 0.03786755285822877)	(15, 0.03947614418033819)	(16, 0.04095342192513255)	(17, 0.04261125583873511)	(18, 0.045450911948173155)	(19, 0.0482084970717893)	(20, 0.05068704084361095)	(21, 0.05290295746080249)	(22, 0.053871395093501015)	(23, 0.05515170247232279)	(24, 0.05615296849935008)	(25, 0.057663074638473207)	(26, 0.058762825848486785)	(27, 0.05989540545282913)	(28, 0.061257783817472815)	(29, 0.062078493675691904)	(30, 0.06390046956093828)	(31, 0.06531209051707511)	(32, 0.06642825592425308)	(33, 0.06798760465486935)	(34, 0.06977675214578696)	(35, 0.07086008915863616)	(36, 0.07220605332611546)	(37, 0.07348636070493725)	(38, 0.07473383968943026)	(39, 0.07621111743422462)	(40, 0.07760632419319707)	(41, 0.07878814638903256)	(42, 0.07990431179621052)	(43, 0.08121744756936106)	(44, 0.0823500271737034)	(45, 0.08405710367879911)	(46, 0.08573135178956605)	(47, 0.08663413263360704)	(48, 0.08885004925079859)	(49, 0.08980207268633274)	(50, 0.09095106648783946)	(51, 0.09170611955740102)	(52, 0.09257607200711325)	(53, 0.09318339730219538)	(54, 0.09411900654056514)	(55, 0.09507102997609929)	(56, 0.09671244969253746)	(57, 0.09764805893090722)	(58, 0.09899402309838654)	(59, 0.09997887492824944)	(60, 0.10127559650423561)	(61, 0.10250666129156423)	(62, 0.10383621126187915)	(63, 0.10475540630308454)	(64, 0.1056910155414543)	(65, 0.1056910155414543)
fastqc_output | anaerobic_r2_2 - polya	(1, 0.0033484962215338835)	(2, 0.006549264668588331)	(3, 0.0088308380744374)	(4, 0.012343476267615101)	(5, 0.015954599643779092)	(6, 0.019040468710682868)	(7, 0.022700834678340005)	(8, 0.028199590728407904)	(9, 0.035947091789996104)	(10, 0.04334989471113229)	(11, 0.04963653222509051)	(12, 0.05672746540010344)	(13, 0.06593583000932163)	(14, 0.07539040757600553)	(15, 0.08555079562075785)	(16, 0.09564552687685265)	(17, 0.106495311202509)	(18, 0.11747640910548042)	(19, 0.12880220514890386)	(20, 0.14025931476964235)	(21, 0.15194622315068215)	(22, 0.1647164685445712)	(23, 0.17789706886756976)	(24, 0.19143878152818475)	(25, 0.20458655345685453)	(26, 0.2177014969911956)	(27, 0.23007780165313946)	(28, 0.24286446124419286)	(29, 0.2562256177359996)	(30, 0.26963601681929955)	(31, 0.28268530356498306)	(32, 0.29648964338022815)	(33, 0.3106550955330896)	(34, 0.3232119563638417)	(35, 0.33755796468551136)	(36, 0.35118174833194826)	(37, 0.36577396961108366)	(38, 0.37908588351139727)	(39, 0.39225006963723147)	(40, 0.40454430331335345)	(41, 0.4173473771015712)	(42, 0.4308070187763643)	(43, 0.4435936783674177)	(44, 0.4567086219017587)	(45, 0.46947886729564775)	(46, 0.4825445682384957)	(47, 0.4958564821388093)	(48, 0.5089878398703147)	(49, 0.5209866179974778)	(50, 0.5336747924055449)	(51, 0.545886955095845)	(52, 0.556982952378967)	(53, 0.569359257040911)	(54, 0.581489348745389)	(55, 0.5940626237733055)	(56, 0.607325295082126)	(57, 0.6193897299979466)	(58, 0.6316347210825753)	(59, 0.6440110257445193)	(60, 0.6558620760972029)	(61, 0.6667282746200236)	(62, 0.6775616447485157)	(63, 0.6888217840032815)	(64, 0.6994253553714722)	(65, 0.6994253553714722)
fastqc_output | anaerobic_r2_2 - polyg	(1, 1.9269610903097638)	(2, 1.9758261552681284)	(3, 1.9801759175166895)	(4, 1.9835244137382235)	(5, 1.9861999278760176)	(6, 1.9893350395344145)	(7, 1.9934057604311812)	(8, 1.9997744689309613)	(9, 2.0062744910080568)	(10, 2.014383104407261)	(11, 2.0192581209650826)	(12, 2.0251836461414245)	(13, 2.0328983188086838)	(14, 2.0365750989735054)	(15, 2.0398579384063815)	(16, 2.0432392630222442)	(17, 2.046029676540189)	(18, 2.0487544332694765)	(19, 2.0517089887590654)	(20, 2.054056218953572)	(21, 2.056387034950914)	(22, 2.0588819929199)	(23, 2.0615082644662013)	(24, 2.0635436249145847)	(25, 2.065792369926105)	(26, 2.0681888427121047)	(27, 2.07004364699168)	(28, 2.0720625932428987)	(29, 2.074081539494118)	(30, 2.076198970928323)	(31, 2.0781686745880488)	(32, 2.0800891356562814)	(33, 2.082222981287651)	(34, 2.084274755933199)	(35, 2.0863757731702397)	(36, 2.0883454768299656)	(37, 2.091119476150746)	(38, 2.093581605725403)	(39, 2.0960437353000607)	(40, 2.0984566222832246)	(41, 2.100918751857882)	(42, 2.1031018400807446)	(43, 2.105531141261073)	(44, 2.107796300469758)	(45, 2.1100122170869495)	(46, 2.1121624769154836)	(47, 2.1143948077298393)	(48, 2.1165450675583735)	(49, 2.118498357020935)	(50, 2.120730687835291)	(51, 2.1227003914950164)	(52, 2.1250476216895233)	(53, 2.127263538306715)	(54, 2.1294137981352486)	(55, 2.1315640579637827)	(56, 2.1334516906376866)	(57, 2.135585536269056)	(58, 2.138113322632371)	(59, 2.140345653446727)	(60, 2.142233286120631)	(61, 2.144301474963343)	(62, 2.1464189063975483)	(63, 2.1484870952402604)	(64, 2.15062094087163)	(65, 2.152902514277479)
