Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
qc | fastqc_out | aerobic_r1_1	(0.0, 0.0005073025949718341)	(1.0, 0.0002743575258521143)	(2.0, 7.76483563732399e-05)	(3.0, 0.0001863560552957758)	(4.0, 0.00025882785457746635)	(5.0, 0.0003209465396760583)	(6.0, 0.000600480622619722)	(7.0, 0.0013200220583450787)	(8.0, 0.001832501210408462)	(9.0, 0.002909225085450722)	(10.0, 0.005181733648640876)	(11.0, 0.00931780276478879)	(12.0, 0.012361618334619793)	(13.0, 0.017843592294570533)	(14.0, 0.03492623069668331)	(15.0, 0.05815344236646514)	(16.0, 0.08275244166550755)	(17.0, 0.09064669123012027)	(18.0, 0.09411498448145833)	(19.0, 0.1115755115512542)	(20.0, 0.1327942190695149)	(21.0, 0.1607942163777052)	(22.0, 0.20373893400919843)	(23.0, 0.2656246740386706)	(24.0, 0.32273762842973436)	(25.0, 0.36220887625279796)	(26.0, 0.4536786400604746)	(27.0, 0.6063818977040882)	(28.0, 0.7404961388319482)	(29.0, 0.8357862017731883)	(30.0, 1.0377599298141682)	(31.0, 1.3665334238126492)	(32.0, 1.7150451300012077)	(33.0, 1.9836463243675193)	(34.0, 2.369543125871247)	(35.0, 3.0113585568669903)	(36.0, 3.5863498123679234)	(37.0, 3.949609529710306)	(38.0, 4.428834479017577)	(39.0, 5.093157580247376)	(40.0, 5.647572021309401)	(41.0, 6.049857802564974)	(42.0, 6.275550515199432)	(43.0, 6.389828189552476)	(44.0, 6.346526289481666)	(45.0, 5.973762413319199)	(46.0, 5.64439361525519)	(47.0, 5.105783202993665)	(48.0, 4.260989791881181)	(49.0, 3.505724935667043)	(50.0, 2.952506279293166)	(51.0, 2.369465477514874)	(52.0, 1.70105289618275)	(53.0, 1.235121345486578)	(54.0, 0.9674622845109285)	(55.0, 0.7783419477282654)	(56.0, 0.524084993062637)	(57.0, 0.33184319235376963)	(58.0, 0.23623735942994514)	(59.0, 0.18435790425843776)	(60.0, 0.1181859749571627)	(61.0, 0.0735951121705568)	(62.0, 0.05023331001639468)	(63.0, 0.040315026628986166)	(64.0, 0.02831059073368327)	(65.0, 0.016823810547535314)	(66.0, 0.010353114183098656)	(67.0, 0.008013310377718358)	(68.0, 0.006273987194957784)	(69.0, 0.0036701789779084735)	(70.0, 0.0018273246533169127)	(71.0, 0.0013044923870704306)	(72.0, 0.0008127194633732444)	(73.0, 0.00039341833895774884)	(74.0, 0.00020188572657042376)	(75.0, 0.00011388425601408521)	(76.0, 7.247179928169059e-05)	(77.0, 3.6235899640845294e-05)	(78.0, 4.1412456732394624e-05)	(79.0, 4.658901382394395e-05)	(80.0, 3.6235899640845294e-05)	(81.0, 4.1412456732394624e-05)	(82.0, 4.1412456732394624e-05)	(83.0, 3.1059342549295964e-05)	(84.0, 2.0706228366197312e-05)	(85.0, 1.0353114183098656e-05)	(86.0, 5.176557091549328e-06)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 5.176557091549328e-06)	(90.0, 2.588278545774664e-05)	(91.0, 4.658901382394395e-05)	(92.0, 5.176557091549328e-05)	(93.0, 6.729524219014126e-05)	(94.0, 8.800147055633856e-05)	(95.0, 8.800147055633856e-05)	(96.0, 8.282491346478925e-05)	(97.0, 0.00016047326983802915)	(98.0, 0.00038824178186619955)	(99.0, 0.002339803805380296)	(100.0, 0.004141245673239462)
qc | fastqc_out | aerobic_r1_2	(0.0, 0.008871643417077541)	(1.0, 0.004808492843911923)	(2.0, 0.0007142863427985418)	(3.0, 0.0007712222107027735)	(4.0, 0.000874741970528649)	(5.0, 0.0009161498744589992)	(6.0, 0.0011231893941107505)	(7.0, 0.0014544526255535525)	(8.0, 0.0015683243613620157)	(9.0, 0.0019979313646393995)	(10.0, 0.0027018657314553537)	(11.0, 0.003566255726001415)	(12.0, 0.004239134164869607)	(13.0, 0.005439963378849764)	(14.0, 0.007815741866853609)	(15.0, 0.01121118998914233)	(16.0, 0.013995871528458385)	(17.0, 0.01612837858087142)	(18.0, 0.022577659618023473)	(19.0, 0.033027979372445615)	(20.0, 0.04290894044782544)	(21.0, 0.04922364579720386)	(22.0, 0.06752593933441867)	(23.0, 0.10319367258242412)	(24.0, 0.14681172338505682)	(25.0, 0.18905296138200536)	(26.0, 0.2705644202688998)	(27.0, 0.419726042202004)	(28.0, 0.5940688457127524)	(29.0, 0.7429147323783877)	(30.0, 1.0137068961189044)	(31.0, 1.4332931866451435)	(32.0, 1.8523981102881923)	(33.0, 2.176751397762617)	(34.0, 2.631254903278124)	(35.0, 3.3657068952907467)	(36.0, 4.0281298384165245)	(37.0, 4.42837863780729)	(38.0, 4.965097536576507)	(39.0, 5.713840431433092)	(40.0, 6.184068588466149)	(41.0, 6.449063645656416)	(42.0, 6.584902274499931)	(43.0, 6.459156822239439)	(44.0, 6.272148376113995)	(45.0, 5.887644932192745)	(46.0, 5.408270804379072)	(47.0, 4.785858248425995)	(48.0, 3.9602674598626715)	(49.0, 3.158734663482882)	(50.0, 2.6117414285509466)	(51.0, 2.111223389792838)	(52.0, 1.5110572302263414)	(53.0, 1.1057825464960294)	(54.0, 0.867112564229482)	(55.0, 0.6767138459697403)	(56.0, 0.44498486359951767)	(57.0, 0.29276940875155016)	(58.0, 0.2171585761747306)	(59.0, 0.17031588485352187)	(60.0, 0.11349388868509874)	(61.0, 0.08295555953646544)	(62.0, 0.06379922798068714)	(63.0, 0.04480335205263897)	(64.0, 0.025331285229391765)	(65.0, 0.01775363881013767)	(66.0, 0.01155280519656772)	(67.0, 0.008700835813364846)	(68.0, 0.007893381686723017)	(69.0, 0.005703938766405747)	(70.0, 0.0039492788373571555)	(71.0, 0.0032505204585324948)	(72.0, 0.002893377287133224)	(73.0, 0.0026397538755598285)	(74.0, 0.002536234115733953)	(75.0, 0.002417186391934196)	(76.0, 0.002194618908308563)	(77.0, 0.0019306435207525805)	(78.0, 0.0019306435207525805)	(79.0, 0.0018737076528483488)	(80.0, 0.001987579388656812)	(81.0, 0.0020496912445523373)	(82.0, 0.001821947772935411)	(83.0, 0.0017598359170398856)	(84.0, 0.0017546599290485917)	(85.0, 0.0017287799890921228)	(86.0, 0.0016614921452053038)	(87.0, 0.0016200842412749533)	(88.0, 0.001635612205248835)	(89.0, 0.0015993802893097785)	(90.0, 0.0015476204093968406)	(91.0, 0.001490684541492609)	(92.0, 0.0014699805895274339)	(93.0, 0.0015010365174751967)	(94.0, 0.001537268433414253)	(95.0, 0.0015838523253358969)	(96.0, 0.0016252602292662474)	(97.0, 0.0018995875928048177)	(98.0, 0.0024430663318906645)	(99.0, 0.008354044617948163)	(100.0, 0.013995871528458385)
qc | fastqc_out | aerobic_r2_1	(0.0, 0.00088015166359278)	(1.0, 0.00044525319452340644)	(2.0, 5.177362727016354e-05)	(3.0, 0.00018638505817258875)	(4.0, 0.0002795775872588831)	(5.0, 0.0003779474790721938)	(6.0, 0.0006627024290580932)	(7.0, 0.0011338424372165814)	(8.0, 0.0014289521126565137)	(9.0, 0.0027025833435025365)	(10.0, 0.005151475913381272)	(11.0, 0.008884354439560063)	(12.0, 0.011488567891249288)	(13.0, 0.01712153853824308)	(14.0, 0.0338133559701438)	(15.0, 0.057406597917157326)	(16.0, 0.08232524472228704)	(17.0, 0.09057278354642409)	(18.0, 0.0934876387617343)	(19.0, 0.10949086695094185)	(20.0, 0.13219360250890858)	(21.0, 0.16039987464569366)	(22.0, 0.20246076943997451)	(23.0, 0.26449075227235747)	(24.0, 0.32194394645405794)	(25.0, 0.3615197071393709)	(26.0, 0.45418932259023664)	(27.0, 0.6072528742517481)	(28.0, 0.7436297858440859)	(29.0, 0.8440861548363842)	(30.0, 1.0430988007001658)	(31.0, 1.3678644098404475)	(32.0, 1.7197438675821142)	(33.0, 1.9897329790705627)	(34.0, 2.381954447181141)	(35.0, 3.0249000600729397)	(36.0, 3.586001922976064)	(37.0, 3.9396572161330976)	(38.0, 4.424108223862745)	(39.0, 5.087887544368057)	(40.0, 5.640933430867944)	(41.0, 6.049468768931351)	(42.0, 6.273208499179363)	(43.0, 6.3808044513722155)	(44.0, 6.337671842493443)	(45.0, 5.975220210063209)	(46.0, 5.647871096922146)	(47.0, 5.103300553206385)	(48.0, 4.2536590881639125)	(49.0, 3.4996228032385233)	(50.0, 2.950594550214801)	(51.0, 2.3700672223599115)	(52.0, 1.7015609696848326)	(53.0, 1.2368564233960258)	(54.0, 0.971283602313722)	(55.0, 0.7799127438350164)	(56.0, 0.5246791161185643)	(57.0, 0.3348873532715988)	(58.0, 0.241239216265327)	(59.0, 0.18651966960349114)	(60.0, 0.11817848160687529)	(61.0, 0.07359621116453746)	(62.0, 0.049738923718446106)	(63.0, 0.039549873871677924)	(64.0, 0.02806130598042864)	(65.0, 0.017245795243691475)	(66.0, 0.010396144355848838)	(67.0, 0.008014557501421314)	(68.0, 0.006062691753336151)	(69.0, 0.003582735007095317)	(70.0, 0.0019156242089960508)	(71.0, 0.0013254048581161865)	(72.0, 0.0008232006735956003)	(73.0, 0.0004038342927072756)	(74.0, 0.0002329813227157359)	(75.0, 0.0001449661563564579)	(76.0, 0.00010872461726734344)	(77.0, 5.695098999717989e-05)	(78.0, 3.6241539089114475e-05)	(79.0, 3.106417636209812e-05)	(80.0, 4.659626454314719e-05)	(81.0, 4.659626454314719e-05)	(82.0, 1.553208818104906e-05)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 1.0354725454032707e-05)	(86.0, 3.6241539089114475e-05)	(87.0, 5.177362727016354e-05)	(88.0, 6.212835272419624e-05)	(89.0, 5.695098999717989e-05)	(90.0, 6.212835272419624e-05)	(91.0, 6.212835272419624e-05)	(92.0, 4.141890181613083e-05)	(93.0, 6.212835272419624e-05)	(94.0, 6.212835272419624e-05)	(95.0, 5.695098999717989e-05)	(96.0, 7.248307817822895e-05)	(97.0, 0.0001242567054483925)	(98.0, 0.0003261738518020303)	(99.0, 0.001801722229001691)	(100.0, 0.003127127087117878)
qc | fastqc_out | aerobic_r2_2	(0.0, 0.025726635149641366)	(1.0, 0.014410434209925825)	(2.0, 0.0027216834450344645)	(3.0, 0.0019507122790456142)	(4.0, 0.0015988596663795618)	(5.0, 0.0015729881507423522)	(6.0, 0.0015936853632521196)	(7.0, 0.001873097732133985)	(8.0, 0.002100767069741431)	(9.0, 0.002343959316731202)	(10.0, 0.0030269673295535396)	(11.0, 0.004046305045659603)	(12.0, 0.004656872814697752)	(13.0, 0.005546852952617768)	(14.0, 0.00765279432548664)	(15.0, 0.011109228814617862)	(16.0, 0.013934398322201164)	(17.0, 0.016319752063951903)	(18.0, 0.022570310241901776)	(19.0, 0.03241700909342381)	(20.0, 0.04257934043571979)	(21.0, 0.04900582492000269)	(22.0, 0.06695548246909881)	(23.0, 0.10302037526736918)	(24.0, 0.1455790184905792)	(25.0, 0.18633700422543942)	(26.0, 0.2695553214240883)	(27.0, 0.42304067509339877)	(28.0, 0.5985271656605925)	(29.0, 0.7489493318784572)	(30.0, 1.0189755148871427)	(31.0, 1.4367849695186978)	(32.0, 1.8600791854653413)	(33.0, 2.183768066208727)	(34.0, 2.6276456599963347)	(35.0, 3.357719134065883)	(36.0, 4.032541399340608)	(37.0, 4.4364992445)	(38.0, 4.971009931867881)	(39.0, 5.702138963775428)	(40.0, 6.164597480093679)	(41.0, 6.438783802816829)	(42.0, 6.568550150949945)	(43.0, 6.452221468038795)	(44.0, 6.2659776012696495)	(45.0, 5.869631156010724)	(46.0, 5.391991234316558)	(47.0, 4.769300073050812)	(48.0, 3.9482882215164703)	(49.0, 3.1662750926536587)	(50.0, 2.6234544744631068)	(51.0, 2.112135013712421)	(52.0, 1.5144460851584738)	(53.0, 1.1088221143920447)	(54.0, 0.8662818295963308)	(55.0, 0.6787961300765993)	(56.0, 0.4494140981339704)	(57.0, 0.29645652338365897)	(58.0, 0.21914208605342136)	(59.0, 0.1734322922255992)	(60.0, 0.11611653648292476)	(61.0, 0.08435148958355863)	(62.0, 0.06502029309943552)	(63.0, 0.04567357370593007)	(64.0, 0.02667353262196324)	(65.0, 0.01904660981211381)	(66.0, 0.012340712958949044)	(67.0, 0.009453451813836437)	(68.0, 0.008889452772945266)	(69.0, 0.006892171765752675)	(70.0, 0.004527515236511704)	(71.0, 0.003440911579748895)	(72.0, 0.003342599820327498)	(73.0, 0.0030373159358084234)	(74.0, 0.0028355181138381876)	(75.0, 0.0029390041763870263)	(76.0, 0.0029390041763870263)	(77.0, 0.002659591807505161)	(78.0, 0.0023957023480056217)	(79.0, 0.0023543079229860864)	(80.0, 0.0023025648917116667)	(81.0, 0.002209427435417712)	(82.0, 0.002193904526035386)	(83.0, 0.002209427435417712)	(84.0, 0.002183555919780502)	(85.0, 0.002281867679201899)	(86.0, 0.0022301246479274795)	(87.0, 0.0020541983415944534)	(88.0, 0.0020386754322121274)	(89.0, 0.00199210670406515)	(90.0, 0.0018420519133693334)	(91.0, 0.0017903088820949138)	(92.0, 0.0018110060946046817)	(93.0, 0.0018213547008595656)	(94.0, 0.0020386754322121274)	(95.0, 0.001976583794682824)	(96.0, 0.0017178686383107265)	(97.0, 0.0019248407634084046)	(98.0, 0.0024112252573879477)	(99.0, 0.007616574203594547)	(100.0, 0.01254251078091928)
qc | fastqc_out | anaerobic_r1_1	(0.0, 0.0020417890728553294)	(1.0, 0.001462867171100617)	(2.0, 0.0009835447363144574)	(3.0, 0.0015500167046981004)	(4.0, 0.002016889206113191)	(5.0, 0.0025397864076980928)	(6.0, 0.003429956643729532)	(7.0, 0.004369926613245248)	(8.0, 0.0049675234150565635)	(9.0, 0.0064117156861005775)	(10.0, 0.009735847896176021)	(11.0, 0.015512616980352075)	(12.0, 0.019446795925609904)	(13.0, 0.027097279982131857)	(14.0, 0.05007363201843984)	(15.0, 0.08243723381653392)	(16.0, 0.10871904316286074)	(17.0, 0.11496890971513743)	(18.0, 0.12357181367454617)	(19.0, 0.1441079787701246)	(20.0, 0.17756717470487277)	(21.0, 0.2154772218197781)	(22.0, 0.2642809606343689)	(23.0, 0.3289583644970728)	(24.0, 0.3799346166849152)	(25.0, 0.434328375583116)	(26.0, 0.5551176291492282)	(27.0, 0.7111090693220382)	(28.0, 0.8020994073644967)	(29.0, 0.859923122906427)	(30.0, 1.036898925776174)	(31.0, 1.3450285517434482)	(32.0, 1.6832994664020808)	(33.0, 1.9404839650149404)	(34.0, 2.293570300385145)	(35.0, 2.873830569977247)	(36.0, 3.4199344473658218)	(37.0, 3.778579677986208)	(38.0, 4.272817132950909)	(39.0, 4.994919493439601)	(40.0, 5.55948662201747)	(41.0, 6.0137348909942965)	(42.0, 6.3152287024747915)	(43.0, 6.426039334443992)	(44.0, 6.418774798321973)	(45.0, 6.069865415597762)	(46.0, 5.736879497655148)	(47.0, 5.163784164718097)	(48.0, 4.2489132608784566)	(49.0, 3.4983877025036128)	(50.0, 2.962511445379372)	(51.0, 2.3271041959201195)	(52.0, 1.6739433414737221)	(53.0, 1.22469372074538)	(54.0, 0.9160723224099485)	(55.0, 0.7296656950116167)	(56.0, 0.4869480189759395)	(57.0, 0.30633683556184027)	(58.0, 0.21743808632572148)	(59.0, 0.17098115995157723)	(60.0, 0.11702314872136382)	(61.0, 0.07638034123150882)	(62.0, 0.05035998048597444)	(63.0, 0.04035645902232043)	(64.0, 0.029923414857364536)	(65.0, 0.020722914096144487)	(66.0, 0.01348950280755335)	(67.0, 0.010109345897308095)	(68.0, 0.007756308490176038)	(69.0, 0.004214302446106884)	(70.0, 0.0021476135065094165)	(71.0, 0.0017243157718930676)	(72.0, 0.0014566422044150825)	(73.0, 0.0011765187035660282)	(74.0, 0.0009461949362012502)	(75.0, 0.0007905707690628866)	(76.0, 0.0007967957357484213)	(77.0, 0.0007781208356918176)	(78.0, 0.000827920569176094)	(79.0, 0.0009337450028301812)	(80.0, 0.0009524199028867847)	(81.0, 0.0008901702360314394)	(82.0, 0.0008714953359748358)	(83.0, 0.0009461949362012502)	(84.0, 0.0009710948029433884)	(85.0, 0.0010333444697987338)	(86.0, 0.0011142690367106827)	(87.0, 0.00115161883682389)	(88.0, 0.0012138685036792356)	(89.0, 0.0011765187035660282)	(90.0, 0.0012823431372201155)	(91.0, 0.0014753171044716862)	(92.0, 0.0014753171044716862)	(93.0, 0.001637166238295584)	(94.0, 0.0019235147058301733)	(95.0, 0.002390387207245264)	(96.0, 0.0027265354082641287)	(97.0, 0.0028012350084905433)	(98.0, 0.004531775747069145)	(99.0, 0.01110534056699362)	(100.0, 0.016023064248565907)
qc | fastqc_out | anaerobic_r1_2	(0.0, 0.0095195551360268)	(1.0, 0.005461937966427909)	(2.0, 0.001317327473131646)	(3.0, 0.0014975279293619184)	(4.0, 0.0017771493269606168)	(5.0, 0.00232396450448696)	(6.0, 0.0034548777125528074)	(7.0, 0.004809488038697613)	(8.0, 0.005604855569645022)	(9.0, 0.006959465895789828)	(10.0, 0.010047728887046564)	(11.0, 0.013527461834941478)	(12.0, 0.015254900691217882)	(13.0, 0.018330736064803566)	(14.0, 0.025781092858599995)	(15.0, 0.033132028711028)	(16.0, 0.03879902236902829)	(17.0, 0.04560314304392995)	(18.0, 0.05692470274225947)	(19.0, 0.07208639630094445)	(20.0, 0.08837900306769528)	(21.0, 0.10116080784237357)	(22.0, 0.12158559748474959)	(23.0, 0.16254081151970565)	(24.0, 0.21215186126255026)	(25.0, 0.253635249048526)	(26.0, 0.35571570059855756)	(27.0, 0.48954871529813015)	(28.0, 0.6290052269938544)	(29.0, 0.7807277973309081)	(30.0, 1.0613309767256198)	(31.0, 1.4281196846690858)	(32.0, 1.7979655865596311)	(33.0, 2.159727323155156)	(34.0, 2.5441259653385044)	(35.0, 3.17408811889303)	(36.0, 3.8199016987869836)	(37.0, 4.18332873615043)	(38.0, 4.729230483777951)	(39.0, 5.468878790897193)	(40.0, 5.941240110956256)	(41.0, 6.27868099976953)	(42.0, 6.45678740242223)	(43.0, 6.349555703347547)	(44.0, 6.190451128113887)	(45.0, 5.7993105033439925)	(46.0, 5.304697533844908)	(47.0, 4.714454046367068)	(48.0, 3.884214620234684)	(49.0, 3.0957382032858747)	(50.0, 2.5760338737089334)	(51.0, 2.0780343783944875)	(52.0, 1.4867593986499505)	(53.0, 1.0735783939404429)	(54.0, 0.8202911181867062)	(55.0, 0.6529408186283029)	(56.0, 0.457218267926885)	(57.0, 0.3240314893462073)	(58.0, 0.2573013962614868)	(59.0, 0.219794846130248)	(60.0, 0.17286816180435088)	(61.0, 0.14341470792395467)	(62.0, 0.12389092056272998)	(63.0, 0.1028261086102947)	(64.0, 0.08102806721526727)	(65.0, 0.0696008727667338)	(66.0, 0.05794376739128584)	(67.0, 0.052612319410403986)	(68.0, 0.051344702407956556)	(69.0, 0.04734922332671294)	(70.0, 0.04257080433219296)	(71.0, 0.0400852807979823)	(72.0, 0.03909728519313357)	(73.0, 0.03792908913205456)	(74.0, 0.03587853221633077)	(75.0, 0.0342505143014228)	(76.0, 0.03352349866766618)	(77.0, 0.03230559213590296)	(78.0, 0.031280313678041065)	(79.0, 0.030472518529422604)	(80.0, 0.029192473909304115)	(81.0, 0.027887574053843525)	(82.0, 0.026930647493172425)	(83.0, 0.026607529433725036)	(84.0, 0.026222273285922387)	(85.0, 0.025482830034494718)	(86.0, 0.024811738680257843)	(87.0, 0.024109578281843333)	(88.0, 0.02363732881034331)	(89.0, 0.023426059309935403)	(90.0, 0.023121582676994597)	(91.0, 0.022711471293849837)	(92.0, 0.022363497999060348)	(93.0, 0.02264933320549457)	(94.0, 0.02399772972280385)	(95.0, 0.025159711975047332)	(96.0, 0.02535234004894866)	(97.0, 0.028011850230554056)	(98.0, 0.03704672827740978)	(99.0, 0.1333172685662239)	(100.0, 0.22321244098978768)
qc | fastqc_out | anaerobic_r2_1	(0.0, 0.0016305817473799445)	(1.0, 0.0012633896744966746)	(2.0, 0.0009522099517142424)	(3.0, 0.0014749918859887283)	(4.0, 0.0019417614701623767)	(5.0, 0.0024209782432473223)	(6.0, 0.0029748781498000515)	(7.0, 0.0037590510512117807)	(8.0, 0.004499658791433969)	(9.0, 0.006453867450507643)	(10.0, 0.009783490484279667)	(11.0, 0.014774813237709879)	(12.0, 0.01840316880535304)	(13.0, 0.026338251736305055)	(14.0, 0.04831376375920042)	(15.0, 0.07905209677564906)	(16.0, 0.10515385192263949)	(17.0, 0.11244790462465969)	(18.0, 0.12164637723010839)	(19.0, 0.14227759285058364)	(20.0, 0.17590989728890888)	(21.0, 0.21427835710798282)	(22.0, 0.262436531005792)	(23.0, 0.32869291758062746)	(24.0, 0.3817677310983991)	(25.0, 0.4355893759508485)	(26.0, 0.5557981028617021)	(27.0, 0.7113941878473738)	(28.0, 0.8065093819130521)	(29.0, 0.8705999576173218)	(30.0, 1.0460057437553232)	(31.0, 1.3474953299703103)	(32.0, 1.6815529859717067)	(33.0, 1.9421162150463487)	(34.0, 2.3040680213979625)	(35.0, 2.8895588934075644)	(36.0, 3.4264248219351834)	(37.0, 3.766693625203317)	(38.0, 4.263386251519724)	(39.0, 4.987999353990896)	(40.0, 5.546666533896651)	(41.0, 6.011618828489251)	(42.0, 6.322580725465735)	(43.0, 6.425139338500369)	(44.0, 6.409879084895119)	(45.0, 6.06765607296791)	(46.0, 5.735751780648169)	(47.0, 5.1545925303796984)	(48.0, 4.256366036973752)	(49.0, 3.513959677953881)	(50.0, 2.963059543928775)	(51.0, 2.325919061531745)	(52.0, 1.6735183255294643)	(53.0, 1.2251643573500806)	(54.0, 0.9181668900418444)	(55.0, 0.7294986241188557)	(56.0, 0.48724520993273224)	(57.0, 0.30770073348172455)	(58.0, 0.21809342050929542)	(59.0, 0.17147869803648708)	(60.0, 0.11678574996024679)	(61.0, 0.07618301973159504)	(62.0, 0.050099935367971575)	(63.0, 0.04014218423893375)	(64.0, 0.030327575782375837)	(65.0, 0.02115399755474974)	(66.0, 0.013169125868152528)	(67.0, 0.009876844401114398)	(68.0, 0.007916412147585074)	(69.0, 0.00458678911381305)	(70.0, 0.0022093760317552684)	(71.0, 0.0014252031303435392)	(72.0, 0.001132694190928053)	(73.0, 0.0010455638685489721)	(74.0, 0.0008277380626012695)	(75.0, 0.0006161358511092157)	(76.0, 0.0006845953901213508)	(77.0, 0.0007032661734882967)	(78.0, 0.0006161358511092157)	(79.0, 0.0006223594455648644)	(80.0, 0.0007094897679439454)	(81.0, 0.0008401852515125669)	(82.0, 0.0008837504127021073)	(83.0, 0.0008339616570569182)	(84.0, 0.0008961976016134045)	(85.0, 0.0009708807350811883)	(86.0, 0.0009397627628029452)	(87.0, 0.0009024211960690533)	(88.0, 0.0011140234075611073)	(89.0, 0.0012384952966740799)	(90.0, 0.0011015762186498098)	(91.0, 0.0012945076467749178)	(92.0, 0.001518557047178269)	(93.0, 0.0016119109640129986)	(94.0, 0.001711488475303377)	(95.0, 0.002041338981452755)	(96.0, 0.0023649658931464844)	(97.0, 0.0027010399937515113)	(98.0, 0.004120019529639402)	(99.0, 0.009795937673190964)	(100.0, 0.014388950381459664)
qc | fastqc_out | anaerobic_r2_2	(0.0, 0.025898691749458493)	(1.0, 0.014577334655525341)	(2.0, 0.003038498144310269)	(3.0, 0.0026159667050196797)	(4.0, 0.0024171283806476377)	(5.0, 0.002914224191577743)	(6.0, 0.004001621277987349)	(7.0, 0.005461840222594533)	(8.0, 0.006362826379905349)	(9.0, 0.007841686417422413)	(10.0, 0.011060381793194844)	(11.0, 0.014776172979897383)	(12.0, 0.016783197316527682)	(13.0, 0.018858572327160875)	(14.0, 0.024985278196874423)	(15.0, 0.032665408475744555)	(16.0, 0.03877968695018485)	(17.0, 0.045111444841907065)	(18.0, 0.0561904677280118)	(19.0, 0.07122761600864748)	(20.0, 0.08839606257864599)	(21.0, 0.10274349042161617)	(22.0, 0.12257761327772736)	(23.0, 0.1631033492638042)	(24.0, 0.2122288427789719)	(25.0, 0.2527297239745022)	(26.0, 0.3581388906822311)	(27.0, 0.49539947147530644)	(28.0, 0.6335734658209659)	(29.0, 0.7831868775156544)	(30.0, 1.0636110518566)	(31.0, 1.4294487139106111)	(32.0, 1.8013633722532427)	(33.0, 2.1624289145223248)	(34.0, 2.5491508143330366)	(35.0, 3.187111150685461)	(36.0, 3.8344603841668277)	(37.0, 4.199459197039894)	(38.0, 4.731357928432743)	(39.0, 5.460895740553766)	(40.0, 5.932055577548593)	(41.0, 6.263264302673685)	(42.0, 6.442492197304535)	(43.0, 6.350193932610088)	(44.0, 6.194112061675671)	(45.0, 5.793931292784027)	(46.0, 5.30065069220281)	(47.0, 4.708522589618141)	(48.0, 3.8783601579695923)	(49.0, 3.0886923938189366)	(50.0, 2.567338307315442)	(51.0, 2.07071473740572)	(52.0, 1.4791769360965314)	(53.0, 1.0698433905861362)	(54.0, 0.8218547179083799)	(55.0, 0.6556445198262625)	(56.0, 0.4611433564045855)	(57.0, 0.33037608964178466)	(58.0, 0.26397030299915925)	(59.0, 0.223401071129626)	(60.0, 0.17354857499097306)	(61.0, 0.1426354292487571)	(62.0, 0.12285101597373893)	(63.0, 0.10232095898232557)	(64.0, 0.08082156515959851)	(65.0, 0.06954991764675837)	(66.0, 0.05863866459684256)	(67.0, 0.05350615034898922)	(68.0, 0.051958939637469274)	(69.0, 0.0482120799625836)	(70.0, 0.04322248076037267)	(71.0, 0.04014670043024264)	(72.0, 0.03910279922728942)	(73.0, 0.037437528260673564)	(74.0, 0.03530001627367411)	(75.0, 0.03376523295742741)	(76.0, 0.03304444403157876)	(77.0, 0.031932192154622646)	(78.0, 0.030210997909277153)	(79.0, 0.029086318637047796)	(80.0, 0.02845252147811191)	(81.0, 0.028203973572646857)	(82.0, 0.027731732552263258)	(83.0, 0.02676239572094955)	(84.0, 0.026333650584022338)	(85.0, 0.02495420970869129)	(86.0, 0.02333864832316845)	(87.0, 0.022841552512238343)	(88.0, 0.022978253860244123)	(89.0, 0.023189519579889416)	(90.0, 0.022530867630407028)	(91.0, 0.021977848540747285)	(92.0, 0.02200270333129379)	(93.0, 0.022294747120215227)	(94.0, 0.022835338814601716)	(95.0, 0.024289344061572276)	(96.0, 0.025525869891260912)	(97.0, 0.027731732552263258)	(98.0, 0.03615750654752854)	(99.0, 0.12409375550106419)	(100.0, 0.2058100931203369)
