Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
qc | fastqc_out | aerobic_r1_1	(1, 31.36284022007037)	(2, 31.45987862312061)	(3, 31.54396408573031)	(4, 31.604557874732745)	(5, 31.621811753567293)	(6, 35.1038633599111)	(7, 35.15731436786586)	(8, 35.1540548602516)	(9, 35.16079185889316)	(10, 35.12098571115996)	(12, 35.17427808018348)	(14, 35.15930285189502)	(16, 35.14798021158595)	(18, 35.13263983376443)	(20, 35.124126529810596)	(22, 35.110164323436024)	(24, 35.08171427837793)	(26, 35.029694230459825)	(28, 35.003876239507505)	(30, 34.98021131279282)	(32, 34.95320513468398)	(34, 34.935158607517586)	(36, 34.902837770895104)	(38, 34.87314283490983)	(40, 34.85163672143125)	(42, 34.82854886216363)	(44, 34.805631379562655)	(46, 34.779174459134325)	(48, 34.739599792512045)	(50, 34.710186523509556)	(52, 34.67817675649616)	(54, 34.63351532205425)	(56, 34.59272356370924)	(58, 34.53444866294561)	(60, 34.484771467748104)	(62, 34.43750466369244)	(64, 34.384468903989486)	(66, 34.32249756582594)	(68, 34.24870220648482)	(70, 34.19850790745453)	(72, 34.1497386255983)	(74, 34.069265668318664)	(76, 33.3546223790529)
qc | fastqc_out | aerobic_r1_2	(1, 31.14472268439744)	(2, 31.10819803383332)	(3, 31.09359300857811)	(4, 31.15700979204437)	(5, 31.19137154453267)	(6, 34.74145514581533)	(7, 34.832210818915605)	(8, 34.784385449306704)	(9, 34.80006591403204)	(10, 34.74696148058268)	(12, 34.79842878484628)	(14, 34.75996420482902)	(16, 34.741631881740446)	(18, 34.72594547573787)	(20, 34.7107963797271)	(22, 34.69264010965822)	(24, 34.656919375365526)	(26, 34.630526378041694)	(28, 34.61615599909201)	(30, 34.589800356695164)	(32, 34.57170691392578)	(34, 34.55091947752818)	(36, 34.51560943390832)	(38, 34.497359218641535)	(40, 34.487551134962686)	(42, 34.438486398718304)	(44, 34.41139596856678)	(46, 34.37517799226579)	(48, 34.34093677350012)	(50, 34.29237215020315)	(52, 34.24470859548261)	(54, 34.174533748288255)	(56, 34.12918074625981)	(58, 34.077904622608735)	(60, 34.01366188960803)	(62, 33.954429835876205)	(64, 33.89325028360664)	(66, 33.8447292957262)	(68, 33.7922181808861)	(70, 33.728743873534604)	(72, 33.67378548740395)	(74, 33.61844059143601)	(76, 32.725330536389016)
qc | fastqc_out | aerobic_r2_1	(1, 31.353086916503486)	(2, 31.461105741198818)	(3, 31.538601428993072)	(4, 31.598817699649764)	(5, 31.618535361999243)	(6, 35.05500379080752)	(7, 35.1375425979276)	(8, 35.13549415508152)	(9, 35.14136167772905)	(10, 35.10421934427703)	(12, 35.14678551677974)	(14, 35.128119528647815)	(16, 35.10071358144377)	(18, 35.08353420993794)	(20, 35.05703386350007)	(22, 35.05123818249389)	(24, 35.02208952916273)	(26, 34.957103369605164)	(28, 34.925509710299266)	(30, 34.89736793259561)	(32, 34.86528408383947)	(34, 34.824545912340355)	(36, 34.813104052140595)	(38, 34.78576616297481)	(40, 34.76041226643484)	(42, 34.7274332860844)	(44, 34.70032011339111)	(46, 34.67694300688102)	(48, 34.63388718229274)	(50, 34.58741112928381)	(52, 34.55134046748363)	(54, 34.4933399659656)	(56, 34.446783959819015)	(58, 34.38734990472098)	(60, 34.326519119430564)	(62, 34.2585118554119)	(64, 34.200726862813795)	(66, 34.16582414895312)	(68, 34.05326926457829)	(70, 33.99088816925939)	(72, 33.916001599403856)	(74, 33.8478757355862)	(76, 33.09189958259265)
qc | fastqc_out | aerobic_r2_2	(1, 31.250911166444656)	(2, 31.171520689504934)	(3, 31.12487825505121)	(4, 31.144517656449175)	(5, 31.159168161204995)	(6, 34.649650304664554)	(7, 34.76678209132657)	(8, 34.72684892863762)	(9, 34.726593248879794)	(10, 34.67383532885101)	(12, 34.71198194289026)	(14, 34.67935217960847)	(16, 34.68108976394558)	(18, 34.641643376180184)	(20, 34.60301435781153)	(22, 34.589178695702714)	(24, 34.562849417051524)	(26, 34.541154129139315)	(28, 34.52410266580293)	(30, 34.48769909934347)	(32, 34.48326963875264)	(34, 34.4480280357225)	(36, 34.426670240881606)	(38, 34.410334776718344)	(40, 34.36978112965899)	(42, 34.31935801299912)	(44, 34.28997788592977)	(46, 34.284842145979404)	(48, 34.22754624919868)	(50, 34.15508625896072)	(52, 34.10361566174208)	(54, 34.0358359386596)	(56, 33.98923219955243)	(58, 33.93373010345102)	(60, 33.85742226075013)	(62, 33.78193635841591)	(64, 33.74642793932)	(66, 33.69138160689517)	(68, 33.63559807065115)	(70, 33.57153158336047)	(72, 33.51194660657013)	(74, 33.446970512270994)	(76, 32.48832343276975)
qc | fastqc_out | anaerobic_r1_1	(1, 31.309958363740638)	(2, 31.42967122685967)	(3, 31.526075762037436)	(4, 31.579758074391123)	(5, 31.59381782142204)	(6, 35.06112730098357)	(7, 35.10550161302342)	(8, 35.10094388214867)	(9, 35.110195581757)	(10, 35.06870901989828)	(12, 35.121110203952995)	(14, 35.104790714027544)	(16, 35.09115560234697)	(18, 35.07740050286543)	(20, 35.065330485141374)	(22, 35.04678769184507)	(24, 35.01673624645987)	(26, 34.96440646417453)	(28, 34.935516077216334)	(30, 34.91204442798647)	(32, 34.8805272766249)	(34, 34.860295298021136)	(36, 34.824415235308024)	(38, 34.80160433162858)	(40, 34.77339206904655)	(42, 34.75259956745729)	(44, 34.73145688382044)	(46, 34.6956660764011)	(48, 34.6618624112814)	(50, 34.62611664262888)	(52, 34.59344931650455)	(54, 34.54929074894872)	(56, 34.50547700961418)	(58, 34.443499080347635)	(60, 34.3937397999145)	(62, 34.35227822566437)	(64, 34.29531225546475)	(66, 34.22968153027506)	(68, 34.15520785969335)	(70, 34.103775526311665)	(72, 34.05680995455477)	(74, 33.97086586359233)	(76, 33.26343851193993)
qc | fastqc_out | anaerobic_r1_2	(1, 30.84964806314083)	(2, 30.694268949290954)	(3, 30.71072008109928)	(4, 30.749979728463174)	(5, 30.72903832814152)	(6, 34.13245684788928)	(7, 34.165713329938875)	(8, 34.080383291263736)	(9, 34.04246698201627)	(10, 33.987238205822905)	(12, 33.98967046195796)	(14, 33.93062078832149)	(16, 33.88430418401237)	(18, 33.85190895502936)	(20, 33.81720285291925)	(22, 33.79062153352616)	(24, 33.739086280584985)	(26, 33.7009645476263)	(28, 33.68109236828343)	(30, 33.642429623297396)	(32, 33.62177703082226)	(34, 33.60003814660047)	(36, 33.552680635055395)	(38, 33.53583792599051)	(40, 33.526746708866256)	(42, 33.47369172706222)	(44, 33.44918023098244)	(46, 33.41371719032689)	(48, 33.371071250289766)	(50, 33.33235895117804)	(52, 33.285365101948564)	(54, 33.215085405888026)	(56, 33.16940496586098)	(58, 33.11919995056972)	(60, 33.05326205426196)	(62, 33.00081379509366)	(64, 32.94818424938004)	(66, 32.89359197188095)	(68, 32.846795437041735)	(70, 32.78435021363244)	(72, 32.730677643221426)	(74, 32.67590944259622)	(76, 31.887682200467395)
qc | fastqc_out | anaerobic_r2_1	(1, 31.295905462103146)	(2, 31.435362122631453)	(3, 31.520677210380928)	(4, 31.57357310973695)	(5, 31.58883880552574)	(6, 35.01563173238556)	(7, 35.08456463065512)	(8, 35.08410388414072)	(9, 35.09270049162162)	(10, 35.05355886877949)	(12, 35.094285774783756)	(14, 35.07399380561027)	(16, 35.04425825638221)	(18, 35.02655406746268)	(20, 35.001288678619375)	(22, 34.99069799239596)	(24, 34.961326838344945)	(26, 34.89060126353207)	(28, 34.85597682774958)	(30, 34.831018548535226)	(32, 34.79761065097557)	(34, 34.75232896940016)	(36, 34.73960508641814)	(38, 34.71371775855247)	(40, 34.684151213333195)	(42, 34.649866609588635)	(44, 34.627036371846245)	(46, 34.5947369616826)	(48, 34.55600427892355)	(50, 34.506986687714615)	(52, 34.470415038378775)	(54, 34.40965498655842)	(56, 34.36363826541132)	(58, 34.29525175146631)	(60, 34.24015657794634)	(62, 34.17654992823569)	(64, 34.11019658654802)	(66, 34.0722812101897)	(68, 33.95840881821755)	(70, 33.89811371164776)	(72, 33.82605602946411)	(74, 33.756771810783164)	(76, 32.986878545607)
qc | fastqc_out | anaerobic_r2_2	(1, 30.957464577752166)	(2, 30.751404685957834)	(3, 30.732608952926874)	(4, 30.722609095730387)	(5, 30.68744266315753)	(6, 34.03819518023363)	(7, 34.09466264475065)	(8, 34.0171260808954)	(9, 33.966933435670384)	(10, 33.904901640385624)	(12, 33.90284584426177)	(14, 33.84724669077474)	(16, 33.82206903581529)	(18, 33.76886906345679)	(20, 33.71381789794211)	(22, 33.68509256047852)	(24, 33.63845793870183)	(26, 33.61180546812716)	(28, 33.58981241363055)	(30, 33.54327668739178)	(32, 33.53606010353747)	(34, 33.49958775743821)	(36, 33.46866171900635)	(38, 33.45140482727831)	(40, 33.41227966520297)	(42, 33.35844150945477)	(44, 33.33493484753337)	(46, 33.32528400471814)	(48, 33.263189404593874)	(50, 33.20207107796708)	(52, 33.14946658908509)	(54, 33.08061813973206)	(56, 33.036977428812996)	(58, 32.98389468240177)	(60, 32.90706227249498)	(62, 32.83859609004684)	(64, 32.80805930667748)	(66, 32.74768220576581)	(68, 32.69285829492958)	(70, 32.63145155682076)	(72, 32.572502261966406)	(74, 32.508743174689535)	(76, 31.679639692486568)
