Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
qc | fastqc_out | aerobic_r1_1	(1, 0.020186684491408913)	(2, 0.001966767636510747)	(3, 0.00147507572738306)	(4, 0.0025950406315072352)	(5, 0.0007648540808652903)	(6, 0.05269298292818375)	(7, 0.0007648540808652903)	(8, 0.0005463243434752074)	(9, 0.0005463243434752074)	(10, 0.0005736405606489677)	(12, 0.0005736405606489677)	(14, 0.0009219223296144124)	(16, 0.0006282729949964884)	(18, 0.0012497169356995368)	(20, 0.0007033925922243295)	(22, 0.0007238797551046498)	(24, 0.0005599824520620876)	(26, 0.0005463243434752074)	(28, 0.0011267939584176153)	(30, 0.0005599824520620876)	(32, 0.0024994338713990737)	(34, 0.0007716831351587305)	(36, 0.00022536039224181146)	(38, 0.00010926607005116042)	(40, 0.0015160739693855496)	(42, 0.0004848732851961152)	(44, 0.0002458529389670079)	(46, 0.0019190355487335323)	(48, 0.0008263533225925613)	(50, 0.0005600158006409312)	(52, 0.0007034479329694709)	(54, 0.005962365792985431)	(56, 0.0008127605870945367)	(58, 0.0005532434305928454)	(60, 0.004487642385311024)	(62, 0.004733892401699665)	(64, 0.0017762401913967124)	(66, 0.0017969830090132021)	(68, 0.0012095758222604185)	(70, 0.0018592967606470545)	(72, 0.0018999055671485613)	(74, 0.0003535395878478775)	(76, 0.00029313275794164693)
qc | fastqc_out | aerobic_r1_2	(1, 0.3422722011872174)	(2, 0.17565693453586606)	(3, 0.12035525286758818)	(4, 0.06849541456320413)	(5, 0.06296388058551765)	(6, 0.048855054415270424)	(7, 0.05800598716848014)	(8, 0.05007062607950276)	(9, 0.0495516179532013)	(10, 0.048971148338258906)	(12, 0.03136584636977035)	(14, 0.036467149926970095)	(16, 0.03473257013643631)	(18, 0.027671327997019254)	(20, 0.03022539430276585)	(22, 0.024891902899589136)	(24, 0.021866631847595176)	(26, 0.03325749440905325)	(28, 0.021299820341239648)	(30, 0.018465762809462008)	(32, 0.01691556748485111)	(34, 0.021013000060915166)	(36, 0.026191573156717673)	(38, 0.019922203011824582)	(40, 0.010920813787080055)	(42, 0.01658290523757539)	(44, 0.016173330014886567)	(46, 0.021644479083503497)	(48, 0.013749151008708205)	(50, 0.015948784661626896)	(52, 0.016939607226518407)	(54, 0.015628596780153867)	(56, 0.017241223848191982)	(58, 0.014693934765897476)	(60, 0.014524064311409056)	(62, 0.018262530329943048)	(64, 0.01710301096355617)	(66, 0.014666007311407858)	(68, 0.013745880166273886)	(70, 0.012369730633217382)	(72, 0.014275185036418551)	(74, 0.01180023557934573)	(76, 0.018925213754504833)
qc | fastqc_out | aerobic_r2_1	(1, 0.00180287008723023)	(2, 0.001488733632637084)	(3, 0.0011882552847653789)	(4, 0.0012155714982082612)	(5, 0.001174597178043938)	(6, 0.08319152804029797)	(7, 0.0009287512570579974)	(8, 0.0010653323242724088)	(9, 0.0011609390713224967)	(10, 0.001092648537715291)	(12, 0.0009287512570579974)	(14, 0.0011063066444367323)	(16, 0.0010380161108295264)	(18, 0.0016116565931300543)	(20, 0.0014750755259156428)	(22, 0.0010106998973866443)	(24, 0.0011063066444367323)	(26, 0.0016867761800979804)	(28, 0.0013248363519797904)	(30, 0.0017482376603444657)	(32, 0.0021579808619877)	(34, 0.0015501951128835691)	(36, 0.000853641871830385)	(38, 0.0011336391154118373)	(40, 0.0018438776501131526)	(42, 0.00046438679158307134)	(44, 7.512180830485248e-05)	(46, 0.0012634218079169972)	(48, 0.001618565451098972)	(50, 0.003913294506349167)	(52, 0.0012361623238212579)	(54, 0.0043369266079326145)	(56, 0.0033193755639864962)	(58, 0.000751328040614335)	(60, 0.001775956405461503)	(62, 0.002261098853055899)	(64, 0.00267122464582533)	(66, 0.006504776090848216)	(68, 0.004168695488753919)	(70, 0.002918885937115166)	(72, 0.0025585055803201673)	(74, 0.0012120118162494858)	(76, 0.0028908066900808042)
qc | fastqc_out | aerobic_r2_2	(1, 0.13266119058535777)	(2, 0.07462789512595437)	(3, 0.0826725199848832)	(4, 0.07893019874320834)	(5, 0.08786260053903083)	(6, 0.08581388453081466)	(7, 0.09368095400236477)	(8, 0.08257691323783313)	(9, 0.07753707185762135)	(10, 0.07785120831221448)	(12, 0.07333037498741747)	(14, 0.06758031205769074)	(16, 0.06678814186784716)	(18, 0.06524477580832432)	(20, 0.06349653814797986)	(22, 0.06379701649585155)	(24, 0.06247900919723249)	(26, 0.06036883170876983)	(28, 0.053744649948870876)	(30, 0.05726161242964197)	(32, 0.054891930913471935)	(34, 0.053976837763135374)	(36, 0.0293385138522869)	(38, 0.025855186772472782)	(40, 0.03308307780418534)	(42, 0.034846328443006475)	(44, 0.027489649197509236)	(46, 0.029608092423156616)	(48, 0.028857355305367385)	(50, 0.029069846882865253)	(52, 0.030184471667555415)	(54, 0.029399936567740856)	(56, 0.028355698805357328)	(58, 0.027140852620455472)	(60, 0.03183052656834191)	(62, 0.030104310581900946)	(64, 0.02779063875135963)	(66, 0.028622487910126344)	(68, 0.031082712904105185)	(70, 0.02627227834141691)	(72, 0.0309782488438475)	(74, 0.026536113097530116)	(76, 0.04167317923789382)
qc | fastqc_out | anaerobic_r1_1	(1, 0.02068189182188755)	(2, 0.0018876329837437048)	(3, 0.0012310649893980683)	(4, 0.0029053133749794412)	(5, 0.0006893963940629183)	(6, 0.05234488334920586)	(7, 0.0009027809922252502)	(8, 0.0005088401956178682)	(9, 0.0005088401956178682)	(10, 0.0005744969950524319)	(12, 0.0005252543954765091)	(14, 0.0007632602934268025)	(16, 0.0005252543954765091)	(18, 0.001386999888055157)	(20, 0.0006811892941335978)	(22, 0.0006565679943456365)	(24, 0.0005991182948403932)	(26, 0.0005170472955471887)	(28, 0.0010915442905996206)	(30, 0.0005170472955471887)	(32, 0.003135112173000414)	(34, 0.0009191951920838909)	(36, 0.0002872502656449421)	(38, 3.282866106254065e-05)	(40, 0.0018794467073037515)	(42, 0.00064016256846354)	(44, 0.0003200826502646468)	(46, 0.0020600334792373245)	(48, 0.0009356412593829839)	(50, 0.0008289560759156333)	(52, 0.0009028399734203912)	(54, 0.006722215090527471)	(56, 0.0008372247182554141)	(58, 0.000549965742059336)	(60, 0.0050649449903466415)	(62, 0.005558023507730209)	(64, 0.002315442788200372)	(66, 0.0023158453340520664)	(68, 0.0015606513468749681)	(70, 0.0020869689249505435)	(72, 0.002415510910648438)	(74, 0.000320543225470538)	(76, 0.0005538410259753959)
qc | fastqc_out | anaerobic_r1_2	(1, 0.34763633880615585)	(2, 0.1794564470545211)	(3, 0.12238427414602664)	(4, 0.06921868080388872)	(5, 0.06312901265633294)	(6, 0.04878300197988079)	(7, 0.05790929710128513)	(8, 0.05032593676659303)	(9, 0.04952164097351963)	(10, 0.048635274181153015)	(12, 0.031301879130428215)	(14, 0.03708788458059914)	(16, 0.03575833439204923)	(18, 0.028380151555590132)	(20, 0.03135932882993346)	(22, 0.026024713875875162)	(24, 0.02268442420464174)	(26, 0.034551890702439116)	(28, 0.022159169809165227)	(30, 0.018679359439133354)	(32, 0.017530365449028494)	(34, 0.02146977341510231)	(36, 0.027290900811487752)	(38, 0.020872554872124617)	(40, 0.011088906849653055)	(42, 0.017031630569733076)	(44, 0.016777345986385233)	(46, 0.021809221434598604)	(48, 0.013560170135810191)	(50, 0.016006535263135946)	(52, 0.016269620612476516)	(54, 0.015441013317935555)	(56, 0.0172557992456047)	(58, 0.014522800797251684)	(60, 0.014179026174301695)	(62, 0.01802325237677022)	(64, 0.016982657979779797)	(66, 0.014398447168951526)	(68, 0.013226814482753918)	(70, 0.011916962604571346)	(72, 0.01381331678047172)	(74, 0.011486238040020807)	(76, 0.018069684899363937)
qc | fastqc_out | anaerobic_r2_1	(1, 0.0016250055192737966)	(2, 0.00165783391360256)	(3, 0.0009684376326985252)	(4, 0.0009684376326985252)	(5, 0.0009027808440409981)	(6, 0.08315432283475811)	(7, 0.0007878814638903255)	(8, 0.000984851829862907)	(9, 0.0010833370128491978)	(10, 0.0010340944213560522)	(12, 0.0007878814638903255)	(14, 0.0008945737454588073)	(16, 0.000910987942623189)	(18, 0.0014116209561368333)	(20, 0.0012721002802395882)	(22, 0.0008781595482944253)	(24, 0.0010669228156848158)	(26, 0.0015593487306162694)	(28, 0.001140786702924534)	(30, 0.0016085913221094146)	(32, 0.0021174314342052502)	(34, 0.0013869996603902608)	(36, 0.000746853265082435)	(38, 0.0009848637116870575)	(40, 0.0018220036985033636)	(42, 0.0005252640518803304)	(44, 4.924383627212341e-05)	(46, 0.0009766769543305856)	(48, 0.0015265851103618442)	(50, 0.0037262386624674526)	(52, 0.0011162526217573068)	(54, 0.004103975364984997)	(56, 0.0031601570031664773)	(58, 0.000591019459315698)	(60, 0.0017649649531319713)	(62, 0.0021181488659652637)	(64, 0.0025125368197491307)	(66, 0.005904628506068217)	(68, 0.0039262840981962015)	(70, 0.0028346797514388466)	(72, 0.002893781403917636)	(74, 0.0012215132921004736)	(76, 0.0027714817550836533)
qc | fastqc_out | anaerobic_r2_2	(1, 0.1319209026101364)	(2, 0.0741593427886769)	(3, 0.08134876114667611)	(4, 0.07773763777051212)	(5, 0.08656847584494952)	(6, 0.08412276046745663)	(7, 0.09150914919142844)	(8, 0.07952678526142974)	(9, 0.07542323597033429)	(10, 0.07619470323706024)	(12, 0.07132789377782103)	(14, 0.06599327969939696)	(16, 0.06539416150289702)	(18, 0.06377736308220543)	(20, 0.06182407361964399)	(22, 0.0625298840977124)	(24, 0.06118391993023309)	(26, 0.05927987305916481)	(28, 0.052238182475645024)	(30, 0.055644128387254244)	(32, 0.05368263182611062)	(34, 0.05233666765863132)	(36, 0.027525571773359382)	(38, 0.024611638119601886)	(40, 0.03127827667039543)	(42, 0.03338065406378676)	(44, 0.02613204160207887)	(46, 0.02820978920735829)	(48, 0.02764387561717395)	(50, 0.027899050430612568)	(52, 0.02925461250734444)	(54, 0.028787634947170668)	(56, 0.027089108962923148)	(58, 0.026170968110671253)	(60, 0.03048439723633316)	(62, 0.028696912149832374)	(64, 0.02635143083012264)	(66, 0.027243546294721605)	(68, 0.02933693594193752)	(70, 0.024892658630481228)	(72, 0.029930078084963924)	(74, 0.02530120524457714)	(76, 0.03973748032837035)
